ForkFilterListId,UpstreamFilterListId,"CreatedDateUtc","ModifiedDateUtc"
7,9,"2017-11-04 07:51:50","2017-11-04 07:51:50"
8,9,"2017-11-04 07:51:53","2017-11-04 07:51:53"
